feature	coefficient
sometimes	-377.7159589011103
pct_pacific_islander	-373.465226558851
frequently	-351.0328515373621
rarely	-343.1864903062791
never	-339.64644123012545
always	-339.0241312381391
pct_nonhispanic_white	-121.6599033222419
frequent_mental_distress	-117.14613961693131
pct_hispanic	-111.0193691822126
pct_nonhispanic_black	-101.10472717108063
pct_females	94.87619678170842
pct_native_american	-83.90645023161902
pct_nonproficient_english	76.7749134730175
pct_above_65	-67.76021270499183
pct_asian	-57.46608836422497
poor_fair_health	46.93119392500478
pct_voters	46.369898847861364
adult_smoking	39.42010840970778
pct_below_18	-34.571129812209335
pct_covid_deaths	-33.587768369252146
frequent_physical_distress	-31.703132280965846
physical_inactivity	-25.89552989506927
diabetes_prevalence	-22.750802750474907
food_insecurity	-21.854285446426033
severe_housing_issues	15.308023203067469
urban_rural_descNoncore	-14.869647554321771
excessive_drinking	-11.156577996565861
homeownership	-9.265154621030655
log_poverty_rating	9.211040110704536
log_population	-8.696516674464284
insufficient_sleep	-4.5086552997648095
pct_less_than_high_school	-4.143820865229381
pct_college_associates	-3.854678464498746
pct_bachelors_or_higher	-3.757869358005293
pct_high_school_diploma	-3.6262716338788525
poor_physical_health_days	-2.3799549533167386
adult_obesity	1.832620723807681
poor_mental_health_days	1.3888239955091346
urban_rural_descMedium metro	1.1782813115736934
urban_rural_descMicropolitan	1.1743464239514694
urban_rural_descLarge fringe metro	0.6091110200536665
log_traffic_volume	0.3886310422902271
unemployment_rate	0.328698610712913
social_associations	0.14320350246412583
urban_rural_descSmall metro	-0.09959276191150657
median_household_income	-1.2110990345393561e-4
